509946,D,5/26/17,0.2,0.190,0.185,0.190,753,0
509947,D,5/26/17,0.23,0.230,0.195,0.210,22975,0
509948,D,5/26/17,0.12,0.125,0.105,0.110,6791,0
509949,D,5/26/17,0.355,0.360,0.315,0.330,8286,0
509950,D,5/26/17,0.145,0.130,0.130,0.130,400,0
509951,D,5/26/17,0.26,0.250,0.210,0.250,1400,0
509952,D,5/26/17,0.15,0.150,0.135,0.140,13392,0
509953,D,5/26/17,0.135,0.135,0.115,0.120,12960,0
509954,D,5/26/17,0.105,0.105,0.090,0.100,182381,02970
5014,D,5/26/17,8.6,8.650,8.430,8.500,103711,0
5014CR,D,5/26/17,0.3,0.280,0.280,0.280,100,0
5014CS,D,5/26/17,0.355,0.360,0.335,0.340,2970,0
5014CT,D,5/26/17,0.15,0.15,0.15,0.15,0,0
2682,D,5/26/17,0.535,0.550,0.535,0.545,519,0
2658,D,5/26/17,19.56,19.420,19.360,19.400,242,0
7609,D,5/26/17,0.83,0.830,0.815,0.820,4782,0
7609WA,D,5/26/17,0.34,0.335,0.325,0.325,8909,0
9954,D,5/26/17,0.11,0.11,0.11,0.11,0,0
5115,D,5/26/17,0.29,0.285,0.275,0.275,14134,0
5116,D,5/26/17,1.52,1.510,1.510,1.510,22,0
2674,D,5/26/17,1.38,1.380,1.330,1.350,2744,0
1163,D,5/26/17,12.28,12.240,12.240,12.240,7,0
1163PA,D,5/26/17,12.200,12.200,12.200,12.200,2,0
5269,D,5/26/17,1.04,1.020,1.020,1.020,7,0
0576C1,D,5/26/17,0.145,0.145,0.145,0.145,0,0
1015,D,5/26/17,5.29,5.380,5.180,5.190,41410,0
1015CX,D,5/26/17,0.455,0.480,0.410,0.475,4833,0
1015CY,D,5/26/17,0.33,0.300,0.285,0.285,1600,0
1015CZ,D,5/26/17,0.07,0.065,0.055,0.060,24061,0
0159,D,5/26/17,0.12,0.120,0.120,0.120,3980,0
0159WA,D,5/26/17,0.015,0.015,0.015,0.015,0,0
5120,D,5/26/17,0.76,0.760,0.760,0.760,639,0
