<Name>,<TICKER>,<PER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALLIANCE FINANCIAL GROUP BERHAD (2488.KL),AFG.KL,D,20170512,4.4700,4.4900,4.4000,4.4900,6769,0
ALLIANZ MALAYSIA BERHAD (1163.KL),ALLIANZ.KL,D,20170512,11.8800,11.9400,11.8800,11.9000,271,0
ALLIANZ GENERAL INSURANCE MALAYSIA BHD -PA,ALLIANZ-PA.KL,D,20170512,11.7000,11.7000,11.7000,11.7000,0,0
AMMB HOLDINGS BHD (1015.KL),AMBANK.KL,D,20170512,5.5600,5.5600,5.4900,5.5200,11024,0
APEX EQUITY HOLDINGS BERHAD (5088.KL),APEX.KL,D,20170512,1.7500,1.8000,1.7500,1.8000,297,0
BIMB HOLDINGS BERHAD [S] (5258.KL),BIMB.KL,D,20170512,4.5200,4.5300,4.5000,4.5000,6454,0
BURSA MALAYSIA BERHAD (1818.KL),BURSA.KL,D,20170512,10.1800,10.2000,10.0800,10.1800,4615,0
CIMB FTSE AS400 MSIA-ETF,CIMBA40.KL,D,20170512,1.9000,1.9000,1.9000,1.9000,20,0
CIMB FTSE CHINA 50 (0823EA),CIMBC50.KL,D,20170512,1.4150,1.4150,1.4150,1.4150,0,0
CIMB GROUP HOLDINGS BERHAD (1023.KL),CIMB.KL,D,20170512,5.9300,5.9600,5.9100,5.9500,199138,0
ECM LIBRA FINANCIAL GROUP BERHAD (2143.KL),ECM.KL,D,20170512,0.5350,0.5450,0.5250,0.5350,9387,0
ELK-DESA RESOURCES BERHAD (5228.KL),ELKDESA.KL,D,20170512,1.1800,1.2000,1.1800,1.1900,636,0
FBMKLCI-EA,FBMKLCI-EA.KL,D,20170512,1.8350,1.8350,1.8350,1.8350,0,0
HONG LEONG BANK BERHAD (5819.KL),HLBANK.KL,D,20170512,14.0000,14.0200,13.9800,14.0000,3383,0
HONG LEONG CAPITAL BERHAD (5274.KL),HLCAP.KL,D,20170512,9.9800,9.9800,9.9800,9.9800,0,0
HONG LEONG FINANCIAL GROUP BERHAD (1082.KL),HLFG.KL,D,20170512,17.7200,17.7200,17.3400,17.3400,228,0
HWANG CAPITAL (MALAYSIA) BERHAD (6688.KL),HWANG.KL,D,20170512,2.6100,2.6100,2.6100,2.6100,0,0
INSAS BERHAD (3379.KL),INSAS.KL,D,20170512,0.9300,0.9300,0.9100,0.9150,15308,0
JOHAN HOLDINGS BERHAD (3441.KL),JOHAN.KL,D,20170512,0.3050,0.3050,0.3000,0.3000,37696,0
K & N KENANGA HOLDINGS BERHAD (6483.KL),KENANGA.KL,D,20170512,0.6400,0.6500,0.6350,0.6450,5541,0
LPI CAPITAL BHD (8621.KL),LPI.KL,D,20170512,18.0400,18.3600,18.0000,18.2400,530,0
MAA GROUP BERHAD (1198.KL),MAA.KL,D,20170512,0.8800,0.8850,0.8800,0.8850,1512,0
MALAYAN BANKING BERHAD (1155.KL),MAYBANK.KL,D,20170512,9.3600,9.4000,9.3400,9.3800,126771,0
MALAYSIA BUILDING SOCIETY BERHAD (1171.KL),MBSB.KL,D,20170512,1.2900,1.3100,1.2900,1.3000,30148,0
MNRB HOLDINGS BERHAD (6459.KL),MNRB.KL,D,20170512,2.5700,2.5700,2.4700,2.4700,1491,0
MANULIFE HOLDINGS BERHAD (1058.KL),MANULFE.KL,D,20170512,3.1200,3.1200,3.1200,3.1200,5,0
MPHB CAPITAL BERHAD (5237.KL),MPHBCAP.KL,D,20170512,1.7900,1.8000,1.7700,1.7700,5240,0
MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25 [S] (0821EA),MYETFDJ.KL,D,20170512,1.0900,1.0900,1.0900,1.0900,0,0
MYETF MSCI MALAYSIA ISLAMIC DIVIDEND [S] (0824EA),MYETFID.KL,D,20170512,1.0800,1.0800,1.0800,1.0800,50,0
MYETF MSCI SEA ISLAMIC DIVIDEND [S] (0825EA),METFSID.KL,D,20170512,0.9310,0.9310,0.9310,0.9310,10,0
PACIFIC & ORIENT BERHAD (6009.KL),P&O.KL,D,20170512,1.3200,1.3300,1.3200,1.3200,958,0
PUBLIC BANK BERHAD (1295.KL),PBBANK.KL,D,20170512,19.9800,20.0400,19.9400,19.9800,16280,0
RCE CAPITAL BERHAD (9296.KL),RCECAP.KL,D,20170512,1.7500,1.7600,1.7400,1.7500,5113,0
SYARIKAT TAKAFUL MALAYSIA BERHAD [S] (6139.KL),TAKAFUL.KL,D,20170512,4.0500,4.0500,3.9900,4.0000,7856,0
TA ENTERPRISE BERHAD (4898.KL),TA.KL,D,20170512,0.6700,0.6800,0.6700,0.6700,6971,0
TUNEPRO,TUNEPRO.KL,D,20170512,1.4300,1.4300,1.4200,1.4300,9134,0
METFAPA,METFAPA.KL,D,20170512,1.0450,1.0450,1.0450,1.0450,20,0
RHBBANK,RHBBANK.KL,D,20170512,5.5000,5.5900,5.5000,5.5400,18644,0
GRAND CENTRAL ENTERPRISES BHD (5592.KL),GCE.KL,D,20170512,0.5700,0.5700,0.5700,0.5700,20,0
LANDMARKS BERHAD (1643.KL),LANDMRK.KL,D,20170512,0.8350,0.8400,0.8200,0.8400,2566,0
PAN MALAYSIA HOLDINGS BERHAD (1287.KL),PMHLDG.KL,D,20170512,0.1700,0.1750,0.1700,0.1750,4014,0
SHANGRI-LA HOTELS (MALAYSIA) BERHAD (5517.KL),SHANG.KL,D,20170512,5.1000,5.1400,5.0700,5.1200,97,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20170512,0.1800,0.1800,0.1700,0.1800,37751,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20170512,0.4150,0.4200,0.4150,0.4200,100,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20170512,0.3300,0.3600,0.3200,0.3400,601,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20170512,0.7800,0.7900,0.7600,0.7600,434,0
AJIYA BERHAD [S] (7609.KL),AJIYA.KL,D,20170512,0.8500,0.8600,0.8450,0.8500,8754,0
ALUMINIUM COMPANY OF MALAYSIA BERHAD [S] (2674.KL),ALCOM.KL,D,20170512,1.3500,1.3600,1.3300,1.3400,22082,0
AMALGAMATED INDUSTRIAL STEEL BERHAD [S] (2682.KL),AISB.KL,D,20170512,0.5650,0.5650,0.5550,0.5550,1978,0
ANCOM BERHAD (4758.KL),ANCOM.KL,D,20170512,0.7900,0.7900,0.7700,0.7700,13113,0
ANN JOO RESOURCES BERHAD (6556.KL),ANNJOO.KL,D,20170512,3.0600,3.1300,3.0500,3.1000,6834,0
ANZO,ANZO.KL,D,20170512,0.2650,0.2750,0.2550,0.2600,198716,0
APB RESOURCES BERHAD [S] (5568.KL),APB.KL,D,20170512,1.0300,1.0300,1.0300,1.0300,0,0
APM AUTOMOTIVE HOLDINGS BERHAD [S] (5015.KL),APM.KL,D,20170512,4.0400,4.0800,4.0400,4.0700,508,0
ASIA KNIGHT BERHAD (9954.KL),AKNIGHT.KL,D,20170512,0.1500,0.1500,0.1500,0.1500,0,0
ASTINO BERHAD [S] (7162.KL),ASTINO.KL,D,20170512,1.1600,1.1800,1.1600,1.1600,11065,0
ATTA,ATTA.KL,D,20170512,1.0600,1.0600,1.0500,1.0600,455,0
BOON KOON GROUP BERHAD [S] (7187.KL),BKOON.KL,D,20170512,0.4600,0.4700,0.4600,0.4650,9606,0
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD [S] (8133.KL),BHIC.KL,D,20170512,2.3500,2.3700,2.2900,2.3700,232,0
BOX-PAK (MALAYSIA) BHD,BOXPAK.KL,D,20170512,1.7500,1.7500,1.7400,1.7400,59,0
BP PLASTICS HOLDING BHD [S] (5100.KL),BPPLAS.KL,D,20170512,1.4200,1.4300,1.4200,1.4200,510,0
CAHYA MATA SARAWAK BERHAD [S] (2852.KL),CMSB.KL,D,20170512,4.5900,4.5900,4.4000,4.4100,1387,0
CAN-ONE BHD,CANONE.KL,D,20170512,3.3000,3.3100,3.2700,3.2800,2436,0
CB INDUSTRIAL PRODUCT HOLDING BERHAD [S] (7076.KL),CBIP.KL,D,20170512,2.0300,2.0300,2.0000,2.0200,1996,0
CHEMICAL COMPANY OF MALAYSIA BERHAD [S] (2879.KL),CCM.KL,D,20170512,1.5100,1.5400,1.5000,1.5200,1703,0
CHIN WELL HOLDINGS BERHAD [S] (5007.KL),CHINWEL.KL,D,20170512,1.6900,1.7000,1.6700,1.7000,2970,0
CHINA AUTOMOBILE PARTS HOLDINGS LIMITED (5229.KL),CAP.KL,D,20170512,0.0250,0.0300,0.0250,0.0250,9964,0
CHOO BEE METAL INDUSTRIES BHD [S] (5797.KL),CHOOBEE.KL,D,20170512,2.1300,2.1300,2.1000,2.1200,1545,0
CLIQ ENERGY BERHAD (5234.KL),CLIQ.KL,D,20170512,0.7200,0.7200,0.7200,0.7200,0,0
COASTAL CONTRACTS BHD [S] (5071.KL),COASTAL.KL,D,20170512,1.3000,1.3000,1.2900,1.2900,3699,0
COMFORT,COMFORT.KL,D,20170512,0.7300,0.7300,0.7150,0.7150,9791,0
COMINTEL CORPORATION BHD [S] (7195.KL),COMCORP.KL,D,20170512,0.8300,0.8350,0.8050,0.8200,6022,0
CSC STEEL HOLDINGS BERHAD [S] (5094.KL),CSCSTEL.KL,D,20170512,1.9800,1.9900,1.9700,1.9900,2676,0
CYMAO HOLDINGS BERHAD [S] (5082.KL),CYMAO.KL,D,20170512,0.3600,0.3600,0.3600,0.3600,40,0
DAIBOCHI PLASTIC AND PACKAGING INDUSTRY BERHAD [S] (8125.KL),DAIBOCI.KL,D,20170512,2.5600,2.5700,2.5600,2.5600,80,0
DOLOMITE CORPORATION BERHAD (5835.KL),DOLMITE.KL,D,20170512,0.3250,0.3300,0.3250,0.3300,120,0
DOLPHIN,DOLPHIN.KL,D,20170512,0.2950,0.2950,0.2950,0.2950,158,0
DOMINANT ENTERPRISE BERHAD [S] (7169.KL),DOMINAN.KL,D,20170512,1.2100,1.2300,1.2100,1.2200,1362,0
DRB-HICOM BHD,DRBHCOM.KL,D,20170512,1.6100,1.6900,1.6100,1.6800,242202,0
