<Name>,<TICKER>,<PER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETRONAS CHEMICALS GROUP BERHAD [S] (5183.KL),PCHEM.KL,D,20170512,7.2600,7.3100,7.1800,7.2300,76832,0
PETRONAS GAS BERHAD [S] (6033.KL),PETGAS.KL,D,20170512,19.5000,19.5000,18.5600,18.6000,2634,0
PNE PCB BERHAD [S] (6637.KL),PNEPCB.KL,D,20170512,0.5400,0.5400,0.5300,0.5300,900,0
PRESS METAL BERHAD [S] (8869.KL),PMETAL.KL,D,20170512,2.7800,2.8000,2.7700,2.7900,39201,0
PRESTARIANG BERHAD [S] (5204.KL),PRESTAR.KL,D,20170512,1.1400,1.1500,1.1400,1.1400,12357,0
PRG HOLDINGS BERHAD [S] (7168.KL),PRG.KL,D,20170512,0.9000,0.9000,0.9000,0.9000,89,0
PRICEWORTH INTERNATIONAL BERHAD [S] (7123.KL),PWORTH.KL,D,20170512,0.2500,0.2550,0.2450,0.2500,120377,0
REACH ENERGY BERHAD [S] (5256.KL),REACH.KL,D,20170512,0.5500,0.5550,0.5450,0.5550,25130,0
RSENA,RSENA.KL,D,20170512,0.4550,0.4550,0.4500,0.4500,750,0
ROHAS,ROHAS.KL,D,20170512,0.9900,0.9900,0.9700,0.9800,2690,0
RUBBEREX CORPORATION (M) BERHAD [S] (7803.KL),RUBEREX.KL,D,20170512,0.8100,0.8150,0.8050,0.8050,8330,0
SAM ENGINEERING & EQUIPMENT (M) BERHAD [S] (9822.KL),SAM.KL,D,20170512,6.9100,6.9600,6.8800,6.9600,522,0
SAPURA INDUSTRIAL BERHAD [S] (7811.KL),SAPIND.KL,D,20170512,1.0000,1.0000,0.9700,0.9800,666,0
SARAWAK CABLE BERHAD [S] (5170.KL),SCABLE.KL,D,20170512,1.0700,1.0800,1.0700,1.0800,2586,0
SCBUILD,SCBUILD.KL,D,20170512,0.0500,0.0550,0.0500,0.0550,15653,0
SCIENTEX BERHAD [S] (4731.KL),SCIENTX.KL,D,20170512,8.6800,8.8300,8.6500,8.7200,1397,0
SEAL INCORPORATED BERHAD [S] (4286.KL),SEAL.KL,D,20170512,0.4500,0.4550,0.4500,0.4500,2341,0
SEALINK INTERNATIONAL BERHAD (5145.KL),SEALINK.KL,D,20170512,0.1900,0.1900,0.1850,0.1850,750,0
SEREMBAN ENGINEERING BERHAD [S] (5163.KL),SEB.KL,D,20170512,0.7150,0.7150,0.6850,0.7100,5270,0
SIG GASES BERHAD [S] (5181.KL),SIGGAS.KL,D,20170512,0.7200,0.7200,0.6950,0.7000,7170,0
SINO HUA-AN INTERNATIONAL BERHAD [S] (2739.KL),HUAAN.KL,D,20170512,0.0350,0.0350,0.0350,0.0350,2650,0
SKP RESOURCES BHD [S] (7155.KL),SKPRES.KL,D,20170512,1.2800,1.3200,1.2800,1.3100,46315,0
SONA PETROLEUM BERHAD [S] (5241.KL),SONA.KL,D,20170512,0.4750,0.4750,0.4750,0.4750,0,0
SOUTHERN ACIDS (M) BERHAD [S] (5134.KL),SAB.KL,D,20170512,4.3000,4.3000,4.3000,4.3000,40,0
SOUTHERN STEEL BERHAD (5665.KL),SSTEEL.KL,D,20170512,1.7400,1.7400,1.7000,1.7200,3982,0
SUBUR TIASA HOLDINGS BERHAD [S] (6904.KL),SUBUR.KL,D,20170512,1.3700,1.3700,1.3700,1.3700,10,0
SUCCESS TRANSFORMER CORPORATION BERHAD [S] (7207.KL),SUCCESS.KL,D,20170512,4.1000,4.1900,4.1000,4.1100,796,0
SUNSURIA BERHAD (3743.KL),SUNSURIA.KL,D,20170512,1.4400,1.4500,1.4300,1.4400,1626,0
SUPERMAX CORPORATION BERHAD [S] (7106.KL),SUPERMX.KL,D,20170512,2.0900,2.1200,2.0600,2.1000,26635,0
TA ANN HOLDINGS BERHAD [S] (5012.KL),TAANN.KL,D,20170512,3.5500,3.5600,3.5200,3.5200,8708,0
TAS OFFSHORE BERHAD [S] (5149.KL),TAS.KL,D,20170512,0.3850,0.3950,0.3700,0.3750,9169,0
TASEK CORPORATION BERHAD [S] (4448.KL),TASEK.KL,D,20170512,13.0200,13.2400,13.0000,13.0000,105,0
TASEK-PA,TASEK-PA.KL,D,20170512,13.5400,13.5400,13.5400,13.5400,0,0
TATT GIAP GROUP BERHAD (5178.KL),TATGIAP.KL,D,20170512,0.2050,0.2200,0.2050,0.2150,19216,0
TECK GUAN PERDANA BERHAD [S] (7439.KL),TECGUAN.KL,D,20170512,2.0200,2.0300,2.0100,2.0100,239,0
TEKALA CORPORATION BERHAD (6378.KL),TEKALA.KL,D,20170512,0.5650,0.5700,0.5500,0.5650,30700,0
THONG GUAN INDUSTRIES BERHAD [S] (7034.KL),TGUAN.KL,D,20170512,4.3800,4.4000,4.3700,4.3700,1406,0
THREE-A RESOURCES BERHAD [S] (0012.KL),3A.KL,D,20170512,1.7300,1.7400,1.7000,1.7100,23977,0
TIEN WAH PRESS HOLDINGS BERHAD (7374.KL),TIENWAH.KL,D,20170512,2.1600,2.1700,2.1500,2.1600,1161,0
TONG HERR RESOURCES BERHAD [S] (5010.KL),TONGHER.KL,D,20170512,3.4900,3.5000,3.4300,3.4600,756,0
TOP GLOVE CORPORATION BHD [S] (7113.KL),TOPGLOV.KL,D,20170512,5.2100,5.2100,5.0300,5.1800,50252,0
TURIYA BERHAD [S] (4359.KL),TURIYA.KL,D,20170512,0.2100,0.2100,0.2050,0.2050,1412,0
UCHI TECHNOLOGIES BERHAD [S] (7100.KL),UCHITEC.KL,D,20170512,1.8600,1.8700,1.8500,1.8600,2688,0
UNITED U-LI CORPORATION BERHAD [S] (7133.KL),ULICORP.KL,D,20170512,4.8000,4.8000,4.7600,4.7600,22,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20170512,2.0500,2.0500,2.0100,2.0100,39467,0
VERSATILE CREATIVE BERHAD [S] (4995.KL),VERSATL.KL,D,20170512,1.3800,1.3900,1.3600,1.3600,3168,0
WAH SEONG CORPORATION BERHAD [S] (5142.KL),WASEONG.KL,D,20170512,0.8800,0.9050,0.8750,0.9000,7306,0
WEIDA (M) BHD [S] (7111.KL),WEIDA.KL,D,20170512,2.0300,2.0300,2.0200,2.0200,3766,0
WELLCALL HOLDINGS BERHAD [S] (7231.KL),WELLCAL.KL,D,20170512,2.2100,2.2100,2.1700,2.2000,1523,0
WHITE HORSE BERHAD [S] (5009.KL),WTHORSE.KL,D,20170512,2.0000,2.0000,2.0000,2.0000,50,0
WTK HOLDINGS BERHAD [S] (4243.KL),WTK.KL,D,20170512,0.9750,0.9750,0.9550,0.9650,26697,0
WZ SATU BERHAD [S] (7245.KL),WZSATU.KL,D,20170512,1.2100,1.2100,1.2000,1.2100,1615,0
YI-LAI BERHAD [S] (5048.KL),YILAI.KL,D,20170512,0.7850,0.7850,0.7700,0.7700,100,0
YKGI HOLDINGS BERHAD [S] (7020.KL),YKGI.KL,D,20170512,0.2550,0.2550,0.2450,0.2450,496,0
YLI HOLDINGS BERHAD [S] (7014.KL),YLI.KL,D,20170512,0.5500,0.5700,0.5500,0.5700,378,0
DIGI.COM BERHAD [S] (6947.KL),DIGI.KL,D,20170512,5.0800,5.1000,5.0800,5.1000,20243,0
LINGKARAN TRANS KOTA HOLDINGS BERHAD [S] (6645.KL),LITRAK.KL,D,20170512,5.8200,5.8900,5.8200,5.8600,229,0
SILK HOLDINGS BERHAD [S] (5078.KL),SILKHLD.KL,D,20170512,0.4800,0.4800,0.4750,0.4750,7515,0
TIME DOTCOM BERHAD [S] (5031.KL),TIMECOM.KL,D,20170512,8.9100,8.9500,8.8500,8.8500,2324,0
YTL POWER INTERNATIONAL BHD (6742.KL),YTLPOWR.KL,D,20170512,1.5300,1.5300,1.5200,1.5300,20423,0

